,Foreign,Foreign,,,,,,,,,,,,Gross,Gross,,,,,,,of Dollar-,,,,,,,Change,,,
,Purch.,Sales,,,,,,,,,,,,Foreign,Foreign,,,,,,Net,denom.,,,,Other,,,in Banks',,,
,of,of,Domes.,,Private,Private,,,,Official,Official,,,Purch.,Sales,Foreign,,,Net,Other,Foreign,S-T U.S. ,,,,Negot.,,,Own ,,,
Rows in,Domes.,Domes.,L-T,,Treas,Gov't,Private,,,Treas,Gov't,Official,,Foreign,Foreign,L-T,Foreign,Foreign,L-T,Acquis.,Acquis.,Secur.&,,,,Instr.&,,,Net,Monthly,,
monthly,U.S.,U.S.,"Secur.,",,Bonds&,Agency,Corp,Private,,Bonds&,Agency,Corp,Official,L-T,L-T,"Secur.,",Bonds,Equity,"Secur.,",L-T,of,Other,U.S.,,,Select.,,,Dollar-,Net ,,
press,L-T,L-T,"Purch.,","Private,","Notes,","Bonds,","Bonds,","Equity,","Official,","Notes,","Bonds,","Bonds,","Equity,",Secur.,Secur.,"Purch.,","Purch.,","Purch.,",Transac.,"Secur.,",L-T,Custody,Treas.,"Private,","Official,",Other,"Private,","Official,",denom.,TIC,"Private,","Official,"
release,Secur.,Secur.,net,net,net,net,net,Net,net,net,net,net,Net,from US,to US,net,net,net,,net,Secur.,Liabs.,"Bills,",net,net,"Liabs,",net,net,Liabs.,Flows,net,net
table -->,[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32]
,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------
2021-Feb,5142569,5149714,-7145,-15087,-60953,18463,13202,14201,7942,-4511,11185,1304,-36,2171889,2160203,11686,8582,3104,4541,-41214,-36673,12043,20495,-7670,28165,-8452,-11888,3436,99568,74938,62913,12025
2021-Jan,4614553,4580873,33680,3048,-50288,26071,18516,8749,30632,1274,26105,360,2893,2012077,1955055,57022,34771,22251,90702,-40814,49888,-11199,-12237,-29337,17100,1038,16471,-15433,49959,88648,40476,48172
2020-Dec,4492408,4394666,97742,86317,-18416,38982,-12552,78303,11425,-2280,12254,1157,294,1749339,1725687,23652,13359,10293,121394,-43813,77581,-23375,3225,13072,-9847,-26600,-25889,-711,-62844,-8638,17368,-26006
2020-Nov,4077155,3952147,125008,111697,30809,23288,-1790,59390,13311,-21162,30103,2657,1713,2139664,2116424,23240,13194,10046,148248,-41907,106341,-1375,12956,17551,-4595,-14331,-13384,-947,21256,126222,143636,-17414
2020-Oct,3557607,3526967,30640,-6151,-26095,20691,-21468,20721,36791,6022,28257,-43,2555,2115945,2095514,20431,9540,10891,51071,-41550,9521,-10274,-6164,-10092,3928,-4110,-4680,570,-14181,-14934,-32992,18057
2020-Sep,3835681,3757464,78217,58582,16424,34676,-29937,37419,19635,6107,11572,1211,745,2041576,2010924,30652,23543,7109,108869,-40146,68723,-56459,-30333,-16800,-13533,-26126,-27273,1147,-88998,-76734,-36873,-39862
2020-Aug,3617744,3584182,33562,7809,-37234,24343,1369,19331,25753,4179,13397,932,7245,1701601,1707351,-5750,-5596,-154,27812,-39296,-11484,8004,8079,16627,-8548,-75,1914,-1989,82929,79449,83486,-4037
2020-Jul,3423073,3449217,-26144,-20289,-2070,22217,-55754,15318,-5855,-20717,12226,1409,1227,2001103,1963672,37431,12384,25047,11287,-41294,-30007,8865,-1098,-12393,11295,9963,12519,-2556,-54374,-75516,-40702,-34814
2020-Jun,4319778,4240941,78837,91863,49521,28532,-17350,31160,-13026,-20633,9488,749,-2630,2058011,2023816,34195,14775,19420,113032,-42722,70310,43000,78722,52174,26548,-35722,-33983,-1739,-170270,-56960,374,-57334
2020-May,3762041,3702944,59097,25510,-46685,-12093,8901,75387,33587,10000,14524,4709,4354,1879961,1820989,58972,33038,25934,118069,-10599,107470,87002,80726,56019,24707,6276,3787,2489,-159531,34941,12681,22261
